"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 10:37:21 UTC 2023","Fri Jul 14 10:37:22 UTC 2023","1313","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty password",""
"passed","Fri Jul 14 10:37:17 UTC 2023","Fri Jul 14 10:37:18 UTC 2023","1337","Features","Login Spec","Login Tests","","","Scenario - Negative test, test with wrong user password",""
"passed","Fri Jul 14 10:37:53 UTC 2023","Fri Jul 14 10:37:55 UTC 2023","1987","Features","Login Spec","Login Tests","","","Scenario - Negative test, access the Inventory Page without authentication",""
"passed","Fri Jul 14 10:37:19 UTC 2023","Fri Jul 14 10:37:21 UTC 2023","1373","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty user name",""
"passed","Fri Jul 14 10:37:15 UTC 2023","Fri Jul 14 10:37:17 UTC 2023","1911","Features","Login Spec","Login Tests","","","Scenario - Successful login testing",""
"passed","Fri Jul 14 10:37:17 UTC 2023","Fri Jul 14 10:37:19 UTC 2023","1933","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove iten in cart",""
"passed","Fri Jul 14 10:37:15 UTC 2023","Fri Jul 14 10:37:17 UTC 2023","2400","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout itens in cart",""
"passed","Fri Jul 14 10:37:19 UTC 2023","Fri Jul 14 10:37:27 UTC 2023","7943","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove all itens in cart",""
"failed","Fri Jul 14 10:37:57 UTC 2023","Fri Jul 14 10:38:28 UTC 2023","31275","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty user and password",""
"passed","Fri Jul 14 10:37:18 UTC 2023","Fri Jul 14 10:37:19 UTC 2023","1279","Features","Login Spec","Login Tests","","","Scenario - Negative test, test with wrong user name and password",""
