"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 23 10:38:18 UTC 2023","Fri Jun 23 10:38:23 UTC 2023","5024","Features","Login Spec","Login Tests","","","Scenario - Successful login testing",""
"passed","Fri Jun 23 10:38:23 UTC 2023","Fri Jun 23 10:38:28 UTC 2023","4873","Features","Login Spec","Login Tests","","","Scenario - Negative test, test with wrong user password",""
"failed","Fri Jun 23 10:39:20 UTC 2023","Fri Jun 23 10:39:52 UTC 2023","31443","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty user and password",""
"passed","Fri Jun 23 10:39:15 UTC 2023","Fri Jun 23 10:39:19 UTC 2023","4056","Features","Login Spec","Login Tests","","","Scenario - Negative test, access the Inventory Page without authentication",""
"passed","Fri Jun 23 10:38:24 UTC 2023","Fri Jun 23 10:38:30 UTC 2023","5700","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove iten in cart",""
"passed","Fri Jun 23 10:38:30 UTC 2023","Fri Jun 23 10:38:41 UTC 2023","11819","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove all itens in cart",""
"passed","Fri Jun 23 10:38:18 UTC 2023","Fri Jun 23 10:38:24 UTC 2023","5852","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout itens in cart",""
"passed","Fri Jun 23 10:38:33 UTC 2023","Fri Jun 23 10:38:36 UTC 2023","3863","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty user name",""
"passed","Fri Jun 23 10:38:36 UTC 2023","Fri Jun 23 10:38:40 UTC 2023","3537","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty password",""
"passed","Fri Jun 23 10:38:28 UTC 2023","Fri Jun 23 10:38:33 UTC 2023","4536","Features","Login Spec","Login Tests","","","Scenario - Negative test, test with wrong user name and password",""
