"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 09 10:33:22 UTC 2023","Fri Jun 09 10:33:29 UTC 2023","6391","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout itens in cart",""
"passed","Fri Jun 09 10:33:33 UTC 2023","Fri Jun 09 10:33:35 UTC 2023","2125","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty user name",""
"passed","Fri Jun 09 10:34:09 UTC 2023","Fri Jun 09 10:34:11 UTC 2023","2605","Features","Login Spec","Login Tests","","","Scenario - Negative test, access the Inventory Page without authentication",""
"passed","Fri Jun 09 10:33:22 UTC 2023","Fri Jun 09 10:33:28 UTC 2023","5407","Features","Login Spec","Login Tests","","","Scenario - Successful login testing",""
"passed","Fri Jun 09 10:33:28 UTC 2023","Fri Jun 09 10:33:30 UTC 2023","2466","Features","Login Spec","Login Tests","","","Scenario - Negative test, test with wrong user password",""
"passed","Fri Jun 09 10:33:30 UTC 2023","Fri Jun 09 10:33:33 UTC 2023","2333","Features","Login Spec","Login Tests","","","Scenario - Negative test, test with wrong user name and password",""
"failed","Fri Jun 09 10:34:13 UTC 2023","Fri Jun 09 10:34:44 UTC 2023","31386","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty user and password",""
"passed","Fri Jun 09 10:33:35 UTC 2023","Fri Jun 09 10:33:37 UTC 2023","2044","Features","Login Spec","Login Tests","","","Scenario - Negative test, empty password",""
"passed","Fri Jun 09 10:33:32 UTC 2023","Fri Jun 09 10:33:42 UTC 2023","9526","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove all itens in cart",""
"passed","Fri Jun 09 10:33:29 UTC 2023","Fri Jun 09 10:33:32 UTC 2023","3250","Features","Shopping Cart Spec","Shopping Cart Tests","","","Scenario - Shopping cart checkout remove iten in cart",""
